Alain Perea,ACTION PUBLIQUE
Alice Thourot,ACTION PUBLIQUE
Amélie de Montchalin,AXA
Amélie de Montchalin,DANONE
André Chassaigne,ROCHE
Anne-France Brunet,MACIF
Anne-Laurence Petel,BOUYGUES
Anne-Laurence Petel,BOUYGUES TELECOM
Anthony Cellier,UP
Antoine Herth,JEUNES AGRICULTEURS
Barbara Pompili,ACTION PUBLIQUE
Benoit Simian,SNCF
Bernard Brochand,REGARDS CITOYENS
Bertrand Pancher,LA POSTE
Boris Vallaud,ROSE
Bruno Bonnell,DANONE
Bruno Duvergé,ALSTOM
Caroline Abadie,UP
Cathy Racon-Bouzon,PERNOD RICARD
Christine Hennion,UP
Christine Pires Beaune,AUBERT & DUVAL
Christine Pires Beaune,ROSE
Cédric Roussel,UP
Daniel Fasquelle,ALSTOM
Delphine Batho,VALLOUREC
Delphine O,SECOURS CATHOLIQUE
Denis Masséglia,THALES
Didier Baichère,ORANGE
Didier Le Gac,BNP PARIBAS
Didier Paris,SAUR
Florent Boudié,ACTION PUBLIQUE
Franck Marlin,AIDES
François Jolivet,SNCF
François-Michel Lambert,ACTION PUBLIQUE
Frédéric Descrozaille,COOP DE FRANCE
Frédéric Descrozaille,JEUNES AGRICULTEURS
Frédérique Dumas,ORANGE
Grégory Besson-Moreau,UP
Guillaume Peltier,ROSE
Jacques Maire,AXA
Jean-Baptiste Djebbari,UP
Jean-François Cesarini,UP
Jean-Luc Lagleize,THALES
Jean-Luc Mélenchon,CARE FRANCE
Jean-Luc Mélenchon,ROSE
Jean-Luc Mélenchon,UP
Jean-Marc Zulesi,SNCF
Jean-Michel Mis,ACTION PUBLIQUE
Jean-Michel Mis,ROCHE
Jean-Pierre Vigier,ROCHE
Jean-René Cazeneuve,ACTION PUBLIQUE
Jean-René Cazeneuve,APPLE FRANCE
Jean-René Cazeneuve,BOUYGUES
Jean-René Cazeneuve,BOUYGUES TELECOM
Julien Aubert,LA BANQUE POSTALE
Laure de La Raudière,UP
Laurent Garcia,ENGIE
Laurent Garcia,GRTGAZ
Laurent Saint-Martin,BPIFRANCE
Laurianne Rossi,ANTICOR
Laurianne Rossi,SNCF
Liliana Tanguy,ORANGE
Lénaïck Adam,REGARDS CITOYENS
Manuel Valls,UP
Marie-France Lorho,ORANGE
Marine Le Pen,AIDES
Marine Le Pen,MOUVEMENT DES ENTREPRISES DE FRANCE
Martine Wonner,ANTICOR
Max Mathiasin,ROSE
Meyer Habib,AIDES
Meyer Habib,ROSE
Mireille Clapot,ROCHE
Mireille Clapot,SNCF
Natalia Pouzyreff,THALES
Naïma Moutchou,ACTION PUBLIQUE
Nicolas Forissier,BOUYGUES
Olivier Dassault,DASSAULT AVIATION
Pacôme Rupin,UP
Patricia Gallerneau,ANTICOR
Patricia Gallerneau,ROCHE
Philippe Dunoyer,VINCI
Philippe Gomès,AIDES
Philippe Gomès,LMD
Philippe Gosselin,ACTION PUBLIQUE
Philippe Latombe,ROCHE
Pierre-Yves Bournazel,ACTION PUBLIQUE
Ramlati Ali,UP
Richard Ferrand,ACTION PUBLIQUE
Rodrigue Kokouendo,BNP PARIBAS
Rodrigue Kokouendo,CACEIS
Rodrigue Kokouendo,NATIXIS
Sandrine Josso,REGARDS CITOYENS
Sandrine Le Feur,GRDF
Sarah El Haïry,ALSTOM
Sarah El Haïry,REGARDS CITOYENS
Sarah El Haïry,UP
Sophie Beaudouin-Hubiere,LA POSTE
Stanislas Guerini,UP
Stéphane Buchou,ROCHE
Stéphane Le Foll,LA POSTE
Sylvain Maillard,ACTION PUBLIQUE
Sylvain Waserman,ACTION PUBLIQUE
Sébastien Nadot,CARREFOUR
Thierry Solère,ALIAPUR
Valérie Rabault,BNP PARIBAS
