Daniel Fasquelle,KOZ
Paul Christophe,ASSEMBLEE PERMANENTE CHAMBRES DE METIERS ET DE L ARTISANAT
Paula Forteza,KOZ
Sylvie Charrière,ASSEMBLEE PERMANENTE CHAMBRES DE METIERS ET DE L ARTISANAT
Ericka Bareigts,KOZ
François-Michel Lambert,AFAIA
Sylvie Charrière,ASSEMBLEE PERMANENTE CHAMBRES DE METIERS ET DE L ARTISANAT
Jean-Luc Fugit,ASS UNION FRANCAISE DE L'ELECTRICITE
Matthieu Orphelin,FRANCE ENERGIE EOLIENNE
Huguette Tiegna,ASS UNION FRANCAISE DE L'ELECTRICITE
Anne-Laurence Petel,UNION DEP PETITES MOYENNES ENTREPR BDR
Aurélien Taché,SECOURS CATHOLIQUE
Delphine Batho,UNION ROUTIERE DE FRANCE
Matthieu Orphelin,ASSOCIATION UNIS-CITE OCCITANIE
Aurélien Taché,SECOURS CATHOLIQUE
Véronique Louwagie,SYNTAGME
Jean-René Cazeneuve,M&M CONSEIL
Jean-Luc Fugit,M&M CONSEIL
Florian Bachelier,M&M CONSEIL
Jean-Luc Fugit,M&M CONSEIL
Dino Cinieri,LIGUE NATIONALE CONTRE LE CANCER
Jean-Luc Fugit,M&M CONSEIL
Jean-Luc Fugit,M&M CONSEIL
Laure de La Raudière,M&M CONSEIL
Guillaume Vuilletet,M&M CONSEIL
Damien Adam,CONFEDERAT ARTISANAT PETITE ENT BATIMENT
Delphine Bagarry,ASS PROMO RECHERCHE INFORMATIQUE LIBRE
Jean-Baptiste Moreau,GROUP NAT INTERPRO SEMEN PLANT
Jean-Charles Colas-Roy,M&M CONSEIL
Stéphanie Kerbarh,M&M CONSEIL
Jean-Baptiste Moreau,GROUP NAT INTERPRO SEMEN PLANT
Philippe Bolo,ASS UNION FRANCAISE DE L'ELECTRICITE
Philippe Huppé,INSTITUT NATIONAL DES METIERS D'ART
Bérangère Abba,UNION ROUTIERE DE FRANCE
Philippe Bolo,ASSOCIATION UNIS-CITE OCCITANIE
Anthony Cellier,M&M CONSEIL
Michèle de Vaucouleurs,M&M CONSEIL
Michèle de Vaucouleurs,M&M CONSEIL
Jean-Michel Mis,M&M CONSEIL
Marie-Pierre Rixain,SYNTEC NUMERIQUE
Didier Le Gac,CREDIT MUTUEL ARKEA
Laurent Pietraszewski,UNION DEP PETITES MOYENNES ENTREPR BDR
Laurence Maillart-Méhaignerie,SECOURS CATHOLIQUE
Pascale Fontenel-Personne,FEDER DEP SYND EXPLOIT AGRICOLE
Stella Dupont,ASSOCIATION UNIS-CITE OCCITANIE
Olivia Gregoire,M&M CONSEIL
Éric Bothorel,M&M CONSEIL
Olivia Gregoire,M&M CONSEIL
Olivia Gregoire,M&M CONSEIL
Éric Bothorel,M&M CONSEIL
Patrick Mignola,SYNTAGME
Laurence Maillart-Méhaignerie,M&M CONSEIL
Isabelle Valentin,SYNTAGME
